id,name,author,date_created,medium_owned,medium_read,status,date_read,rating,genre,list,review
840,2312,Kim Stanley Robinson,2012,PhysicalBook,PhysicalBook,read,2022-08-15 00:00:00,4,BookFiction;BookSciFi,DCU;GiveAway,"A bold mystery set in solar space that manages to convince that not just humankind's set but the setting has changed as well. Personal computing, gender identity, sexuality, ethics, a lot of things that mesh well together without feeling forced or introduced to make a point. Just matter of fact, as if part of the world. The story I thought I'd read before, so was not novel. But the plot points and space-tech was enough to continue reading."
841,Consciousness: A User's Guide,Adam Zeman,2002,PhysicalBook,PhysicalBook,read,2023-08-12 00:00:00,3,BookNonFiction,DCU;GiveAway,"I picked up this book because of the title stating it is ""a user's guide"" - which to me implied that I would be receiving some sort of primer or framework. To a certain extent, the book does provide different concepts and theories from philosophy, neurology, biology, and physics to discuss consciousness. This knowledge spans and skips domains in so many ways that the book became quite dense and at times it felt that the subject wasn't been explored in as much detail as possible. For example, the notion of neurons and the brain being evolutionary key pieces to discuss how consciousness evolved is a great topic to understand what consciousness actually is or means. But it is quite quickly glossed over. Similarly, how the brain exhibits consciousnes versus what is the 'feeling' of being conscios is mentioned throughout the book, but the conclusion never offers enough insight to think about it further. Even as a book providing 'here's what we know' type of collections, it didn't really tickle my neurons. Good to skim through and pick at pages that interest."
842,What Do You Say After You Say Hello,Eric Berne,1964,,,to-read,,,BookNonFiction,,
843,Restless Creatures,Matt Wilkinson,2015,PhysicalBook,PhysicalBook,read,2022-08-31 00:00:00,3,BookNonFiction,DCU;GiveAway,"Interesting way to present what is essentially a biological phenomenon - walking. There's physics, chemistry, biology - of course, but also lots of practical mix-match between these. Educational in the sense of presenting a way of thinking how disciplines flow into one another at the face of a problem. The writing was difficult and dry at times, but the overall pacing was good and the topic was handled well. At the end of it all, I did learn something new about walking, and its various forms such as flying, slithering, contracting, expanding, floating, and so on."
844,The State of the Art,Iain M. Banks,1989,,,to-read,,,BookFiction;BookSciFi,,
845,The Shape of Inner Space: String Theory and the Geometry of the Universe's Hidden Dimensions,Shing-Tung Yau & Steve Nadis,2010,PhysicalBook,PhysicalBook,read,2022-09-04 00:00:00,4,BookNonFiction,educational,"An excellent book that takes a slow but methodological approach to present mathematical concepts of geometry and topology and how they fit within the applications required by physics and more specifically quantum gravity and string theories. I think I barely understood 10% of what is covered, given that a lot of the mathematical theories require time to digest and ruminate and grasp, but the fact that the book really explains things from a simple approach first approach means I have both an appreciation as well as knowledge about what goes on inside the reseach in these areas. Illuminating, educational."
846,The Book of Universes: Exploring the Limits of the Cosmos,John D. Barrow,2011,PhysicalBook,PhysicalBook,read,2022-12-06 00:00:00,4,BookNonFiction,DCU;GiveAway,A nice book describing how different solutions to a theoretical equation led to the modelling of how universes work and what may happen with the one we live in.
847,Bear Head,Adrian Tchaikovsky,2021,EBook,EBook,read,2023-01-05 21:00:00,3,BookFiction;BookSciFi,,"I enjoyed Dogs of War because it had something different, but was annoyed with its anthromorphic storyline and characterisation. This is a sequel with the same outlines, though as a more techno-oriented thriller. It was okay, I read it because I was sitting in an airport and wanted to get this book out of the way."
848,Beyond the Blue Event Horizon,Frederik Pohl,1980,EBook,EBook,read,2022-10-14 00:00:00,4,BookFiction;BookSciFi,,"A sequel that manages to keep up with its predecessor is always an enjoyable experience. In this case, there's science fiction, humanity and its cliches that are dated but integrated well into the story, and a great hook for yet another sequel. The whole thing with sexualised teenagers seems weird and out of place and really dated. It also feels forced. I'm not sure why that even made it into the story in the first place."
849,Heechee Rendezvous,Frederik Pohl,1984,EBook,EBook,read,2025-01-21 00:00:00,3,BookFiction;BookSciFi,,"Overall, I think I was intrigued with the plot of galactic scale alien civilisation finally come to the fore; but it was marred by the constant focus back on human stuff that felt tedious and just ended up breaking the flow. There are some prescient imaginative moments, such as when the person dies and their consciousness is uploaded to a machine - what is their legal status? But it never gets further. Or how data is being stored and transferred - considering this is an old book now. Most of the times, I couldn't wait for the human squabbling to get over and the actual Heechee plot to move further. But the book just prolongs it so much that nothing much really happens between the first and last chapters. Disappointing. Also the way the aliens were described was so anthromorphic and boring that it takes away all the allure of having them as these imaginitive beings in the first two books - which were quite interesting to go through. The story was left at a cliffhanger. I don't think I will go and read Book 4. Stories rarely take a turn for the better for these kind of series."
850,Privacy Is Hard and Seven Other Myths,Jaap-Henk Hoepman,2021,,,to-read,,,BookNonFiction,,
851,Law for Computer Scientists and Other Folks,Mireille Hildebrandt,2020,EBook;PhysicalBook,,to-read,,,BookNonFiction,DCU,
852,Understanding Privacy,Daniel J. Solove,2010,,,to-read,,,BookNonFiction,,
