Year,Author,Novel,Publisher or publication,Ref.
1996,Nicola Griffith*,Slow River,Del Rey Books,
1996,Nina Kiriki Hoffman,The Silent Strength of Stones,AvoNova,
1996,Patricia A. McKillip,Winter Rose,Ace Books,
1996,Tim Powers,Expiration Date,Tor Books,
1996,Robert J. Sawyer,Starplex,Analog Science Fiction and Fact,
1996,Neal Stephenson,The Diamond Age,Bantam Spectra,
1997,Vonda N. McIntyre*,The Moon and the Sun,Pocket Books,
1997,Lois McMaster Bujold,Memory,Baen Books,
1997,Kate Elliott,King's Dragon,DAW Books,
1997,George R. R. Martin,A Game of Thrones,Bantam Spectra,
1997,Jack McDevitt,Ancient Shores,HarperPrism,
1997,Walter Jon Williams,City on Fire,HarperPrism,
1997,Connie Willis,Bellwether,Bantam Spectra,
1998,Joe Haldeman*,Forever Peace,Ace Books,
1998,Catherine Asaro,The Last Hawk,Tor Books,
1998,Jack McDevitt,Moonfall,HarperPrism,
1998,Harry Turtledove,How Few Remain,Del Rey Books,
1998,Martha Wells,The Death of the Necromancer,Avon,
1998,Connie Willis,To Say Nothing of the Dog,Bantam Spectra,
1999,Octavia E. Butler*,Parable of the Talents,Seven Stories Press,
1999,Ken MacLeod,The Cassini Division,Tor Books,
1999,George R. R. Martin,A Clash of Kings,Bantam Spectra,
1999,Maureen F. McHugh,Mission Child,Avon Eos,
1999,Sean Stewart,Mockingbird,Ace Books,
1999,Vernor Vinge,A Deepness in the Sky,Tor Books,
2000,Greg Bear*,Darwin's Radio,Del Rey Books,
2000,Lois McMaster Bujold,A Civil Campaign,Baen Books,
2000,Kathleen Ann Goonan,Crescent City Rhapsody,Avon Eos,
2000,Nalo Hopkinson,Midnight Robber,Warner Aspect,
2000,Jack McDevitt,Infinity Beach,HarperPrism,
2000,Charles de Lint,Forests of the Heart,Tor Books,
2001,Catherine Asaro*,The Quantum Rose,Tor Books,
2001,Jeffrey Carver,Eternity's End,Tor Books,
2001,Geoffrey A. Landis,Mars Crossing,Tor Books,
2001,George R. R. Martin,A Storm of Swords,Bantam Spectra,
2001,Wil McCarthy,The Collapsium,Del Rey Books,
2001,Patricia A. McKillip,The Tower at Stony Wood,Ace Books,
2001,Tim Powers,Declare,Subterranean Press,
2001,Connie Willis,Passage,Bantam Books,
2002,Neil Gaiman*,American Gods,William Morrow and Company,
2002,Kelley Eskridge,Solitaire,Eos,
2002,Ursula K. Le Guin,The Other Wind,Harcourt,
2002,Robert A. Metzger,Picoverse,Ace Books,
2002,China Miéville,Perdido Street Station,Del Rey Books,
2002,Michael Swanwick,Bones of the Earth,Eos,
2003,Elizabeth Moon*,The Speed of Dark,Ballantine Books,
2003,Lois McMaster Bujold,Diplomatic Immunity,Baen Books,
2003,Carol Emshwiller,The Mount,Small Beer Press,
2003,Kathleen Ann Goonan,Light Music,Eos,
2003,Nalo Hopkinson,The Salt Roads,Warner,
2003,Jack McDevitt,Chindi,Ace Books,
2004,Lois McMaster Bujold*,Paladin of Souls,Eos,
2004,Cory Doctorow,Down and Out in the Magic Kingdom,Tor Books,
2004,Jack McDevitt,Omega,Ace Books,
2004,David Mitchell,Cloud Atlas,Random House,
2004,Sean Stewart,Perfect Circle,Small Beer Press,
2004,Gene Wolfe,The Knight,Tor Books,
2005,Joe Haldeman*,Camouflage,Analog Science Fiction and Fact,
2005,Susanna Clarke,Jonathan Strange & Mr Norrell,Bloomsbury Publishing,
2005,Jack McDevitt,Polaris,Ace Books,
2005,Terry Pratchett,Going Postal,HarperCollins,
2005,Geoff Ryman,Air,St. Martin's Press,
2005,John C. Wright,Orphans of Chaos,Tor Books,
2006,Jack McDevitt*,Seeker,Ace Books,
2006,Ellen Kushner,The Privilege of the Sword,Bantam Spectra,
2006,Jeffrey Ford,The Girl in the Glass,HarperCollins,
2006,Jo Walton,Farthing,Tor Books,
2006,Richard Bowes,From the Files of the Time Rangers,Golden Gryphon Press,
2006,Wil McCarthy,To Crush the Moon,Bantam Spectra,
2007,Michael Chabon*,The Yiddish Policemen's Union,HarperCollins,
2007,Jack McDevitt,Odyssey,Ace Books,
2007,Joe Haldeman,The Accidental Time Machine,Ace Books,
2007,Nalo Hopkinson,The New Moon's Arms,Warner,
2007,Tobias S. Buckell,Ragamuffin,Tor Books,
2008,Ursula K. Le Guin*,Powers,Harcourt,
2008,Cory Doctorow,Little Brother,Tor Books,
2008,Jack McDevitt,Cauldron,Ace Books,
2008,Ian McDonald,Brasyl,Pyr Books,
2008,Terry Pratchett,Making Money,Harper,
2008,David J. Schwartz,Superpowers,Three Rivers Press,
2009,Paolo Bacigalupi*,The Windup Girl,Night Shade Books,
2009,Christopher Barzak,The Love We Share Without Knowing,Bantam Books,
2009,Laura Anne Gilman,Flesh and Fire,Pocket Books,
2009,China Miéville,The City & the City,Del Rey Books,
2009,Cherie Priest,Boneshaker,Tor Books,
2009,Jeff VanderMeer,Finch,Underland Press,
2010,Connie Willis*,Blackout/All Clear,Bantam Spectra,
2010,M. K. Hobson,The Native Star,Bantam Spectra,
2010,N. K. Jemisin,The Hundred Thousand Kingdoms,Orbit Books,
2010,Mary Robinette Kowal,Shades of Milk and Honey,Tor Books,
2010,Jack McDevitt,Echo,Ace Books,
2010,Nnedi Okorafor,Who Fears Death,DAW Books,
2011,Jo Walton*,Among Others,Tor Books,
2011,China Miéville,Embassytown,Subterranean Press,
2011,Jack McDevitt,Firebird,Ace Books,
2011,Kameron Hurley,God's War,Night Shade Books,
2011,Genevieve Valentine,Mechanique: a Tale of the Circus Tresaulti,Prime Books,
2011,N. K. Jemisin,The Kingdom of Gods,Orbit Books,
2012,Kim Stanley Robinson*,2312,Orbit Books,
2012,Saladin Ahmed,Throne of the Crescent Moon,DAW Books,
2012,Tina Connolly,Ironskin,Tor Books,
2012,N. K. Jemisin,The Killing Moon,Orbit Books,
2012,Caitlín R. Kiernan,The Drowning Girl,Roc Books,
2012,Mary Robinette Kowal,Glamour in Glass,Tor Books,
2013,Ann Leckie*,Ancillary Justice,Orbit Books,
2013,Karen Joy Fowler,We Are All Completely Beside Ourselves,Marian Wood Books,
2013,Neil Gaiman,The Ocean at the End of the Lane,William Morrow and Company,
2013,Charles E. Gannon,Fire with Fire,Baen Books,
2013,Nicola Griffith,Hild,"Farrar, Straus and Giroux",
2013,Linda Nagata,The Red: First Light,Mythic Island Press,
2013,Sofia Samatar,A Stranger in Olondria,Small Beer Press,
2013,Helene Wecker,The Golem and the Jinni,Harper,
2014,Jeff VanderMeer*,Annihilation,"Farrar, Straus and Giroux",
2014,Katherine Addison,The Goblin Emperor,Tor Books,
2014,Charles E. Gannon,Trial by Fire,Baen Books,
2014,Ann Leckie,Ancillary Sword,Orbit Books,
2014,Cixin Liu,The Three-Body Problem,Tor Books,
2014,Jack McDevitt,Coming Home,Ace Books,
2015,Naomi Novik*,Uprooted,Del Rey Books,
2015,Ann Leckie,Ancillary Mercy,Orbit Books,
2015,Lawrence M. Schoen,Barsk: The Elephants' Graveyard,Tor Books,
2015,N. K. Jemisin,The Fifth Season,Orbit Books,
2015,Ken Liu,The Grace of Kings,Saga Press,
2015,Charles E. Gannon,Raising Caine,Baen Books,
2015,Fran Wilde,Updraft,Tor Books,
2016,Charlie Jane Anders*,All the Birds in the Sky,"Tor Books, Titan Books",
2016,Mishell Baker,Borderline,Saga Press,
2016,N. K. Jemisin,The Obelisk Gate,Orbit Books,
2016,Yoon Ha Lee,Ninefox Gambit,Solaris Books,
2016,Nisi Shawl,Everfair,Tor Books,
2017,N. K. Jemisin*,The Stone Sky,Orbit Books,
2017,Lara Elena Donnelly,Amberlough,Tor Books,
2017,Theodora Goss,The Strange Case of the Alchemist's Daughter,Saga Press,
2017,Daryl Gregory,Spoonbenders,"Alfred A. Knopf, Riverrun Books",
2017,Mur Lafferty,Six Wakes,Orbit Books,
2017,Fonda Lee,Jade City,Orbit Books,
2017,Annalee Newitz,Autonomous,"Tor Books, Orbit Books",
2018,Mary Robinette Kowal*,The Calculating Stars,Tor Books,
